Status,Exposure.Location,Street,Suburb,Date,Arrival.Time,Departure.Time,Contact,type
,Oporto Phillip,82 Parramatta Street,Phillip,27/08/2021 - Friday,8:20pm,9:00pm,Monitor,Monitor 
,Canberra Cafe Greenway,Shop 12/ 150-180 Soward Way,Greenway,28/08/2021 - Saturday,12:40pm,1:20pm,Monitor,Monitor 
,Oporto Tuggeranong,"Tuggeranong South.Point Shopping Centr, 210 Anketell Street",Greenway,28/08/2021 - Saturday,1:40pm,2:20pm,Monitor,Monitor 
,McDonalds Erindale,Corner Ricardo Street and McBryde Crescent,Wanniassa,28/08/2021 - Saturday,4:45pm,5:40pm,Monitor,Monitor 
,Pizza Hut Erindale,Shop 2/38 Gartside Street,Wanniassa,28/08/2021 - Saturday,5:40pm,6:20pm,Monitor,Monitor 
,McDonalds Conder,Box Hill Avenue,Conder,29/08/2021 - Sunday,4:20pm,5:00pm,Monitor,Monitor 
,Ampol Petrol Calwell,Were Street,Calwell,29/08/2021 - Sunday,4:40pm,5:20pm,Monitor,Monitor 
,Master Kebabs Wanniassa,50 Denigan Street,Wanniassa,29/08/2021 - Sunday,5:15pm,6:30pm,Monitor,Monitor 
,Oscy's Burgers Tuggeranong,90 Reed Street,Greenway,29/08/2021 - Sunday,6:20pm,7:00pm,Monitor,Monitor 
New,JAGA Swanson Court,"Level 1, 11-17 Swanson Court",Belconnen,26/08/2021 - Thursday,4:00pm,6:00pm,Casual,Casual New
New,KFC Woden,48 Botany Street,Phillip,27/08/2021 - Friday,3:50pm,10:00pm,Casual,Casual New
New,SupaBarn Express Watson,5 Watson Place,Watson,27/08/2021 - Friday,9:40am,11:00am,Casual,Casual New
New,Ainslie Cellars,7 Edgar Street,Ainslie,29/08/2021 - Sunday,2:25pm,3:05pm,Monitor,Monitor New
New,Ainslie Cellars,7 Edgar Street,Ainslie,29/08/2021 - Sunday,4:00pm,4:40pm,Monitor,Monitor New
New,Costco Canberra,39-41 Mustang Avenue,Majura Park,25/08/2021 - Wednesday,4:00pm,5:40pm,Casual,Casual New
New,Petbarn Majura Park,15 Mustange Avenue,Majura Park,25/08/2021 - Wednesday,5:00pm,5:50pm,Monitor,Monitor New
New,Best Friends Pets Fyshwick,1 Barrier Street,Fyshwick,25/08/2021 - Wednesday,5:15pm,6:00pm,Monitor,Monitor New
